x,y,z
-0.28463,-0.404758,0.509891
-0.28327,-0.406518,0.508757
-0.253303,-0.400721,0.483889
-0.224139,-0.399048,0.459675
-0.200848,-0.396033,0.440343
-0.179403,-0.404628,0.422513
-0.15698,-0.405138,0.403892
-0.164387,-0.457164,0.409908
-0.476818,-1.22953,0.667336
-0.227609,-0.64122,0.461927
-0.476929,-1.3861,0.667021
-0.516346,-1.52891,0.699381
-0.522704,-1.70013,0.704215
-0.52457,-1.88762,0.705278
-0.516981,-2.07713,0.698483
-0.462132,-2.17401,0.652685
-0.413289,-2.16563,0.612149
-0.370783,-2.18658,0.576798
-0.33031,-2.17475,0.543221
-0.292874,-2.17839,0.512125
-0.259058,-2.20856,0.483967
-0.228225,-2.20475,0.458374
-0.201096,-2.16228,0.435957
-0.176866,-2.21969,0.415688
-0.150524,-2.17419,0.393932
-0.132245,-2.22776,0.378614
-0.113037,-2.28307,0.362521
-0.096782,-2.26757,0.349063
-0.083033,-2.2998,0.337563
-0.06759,-2.30093,0.324737
0.010011,-0.4465,0.265118
0.011613,-0.44359,0.263796
0.013133,-0.44267,0.262536
0.015088,-0.42575,0.260957
0.017946,-0.425861,0.258583
0.020721,-0.431939,0.256263
0.02371,-0.419986,0.253812
0.026543,-0.401999,0.251507
0.029206,-0.395982,0.249311
0.033016,-0.384901,0.246176
0.035821,-0.343781,0.243954
0.040042,-0.364566,0.240394
0.045233,-0.370187,0.236069
0.050642,-0.376678,0.231561
0.055923,-0.362972,0.227211
0.062395,-0.366015,0.22183
0.068643,-0.365895,0.216641
0.076201,-0.375449,0.210341
0.084046,-0.375586,0.203826
0.093115,-0.38227,0.196278
0.103028,-0.384282,0.188041
0.11374,-0.382486,0.179151
0.125909,-0.385873,0.169037
0.14088,-0.382014,0.156615
0.156107,-0.396614,0.143933
0.17285,-0.407699,0.130002
0.188957,-0.392723,0.116665
0.204862,-0.385556,0.103477
0.22382,-0.398465,0.087701
0.24022,-0.427519,0.074007
0.250811,-0.427961,0.065211
0.267914,-0.456337,0.050936
0.277141,-0.465041,0.043251
0.282706,-0.462354,0.038637
0.288322,-0.468172,0.033959
0.295319,-0.467677,0.02815
